time,mag,place,lon,lat,depth,time_days
2001-11-11 05:00:59+00:00,3.7,EGYPT,34.7068,28.747,20.0,1354.828861111111
2001-11-09 02:57:13.200000+00:00,3.7,RED SEA,35.005,26.6731,10.0,1352.7429143518518
2001-11-07 04:05:05.900000+00:00,3.9,RED SEA,34.5364,27.8064,12.0,1350.7900520833334
2001-11-06 12:19:09.800000+00:00,3.5,EGYPT,32.0119,26.0771,10.0,1350.133152777778
2001-12-31 01:27:58.600000+00:00,3.2,EGYPT,34.6606,28.267,16.0,1404.6809398148148
2001-12-30 00:27:45.600000+00:00,3.1,EGYPT,34.6465,28.2457,15.7,1403.6391226851852
2001-12-29 12:24:17.800000+00:00,4.0,EGYPT,34.6387,28.2538,15.4,1403.1367175925927
2001-12-20 16:05:57.800000+00:00,3.1,DEAD SEA REGION,35.5619,31.725,20.0,1394.290652777778
2001-12-17 04:25:33.200000+00:00,4.4,EGYPT,30.9081,29.6289,10.0,1390.8042569444444
2001-12-11 12:38:10.200000+00:00,3.2,DEAD SEA REGION,35.8835,31.4838,8.9,1385.1463518518517
2002-01-13 02:27:57.400000+00:00,3.0,RED SEA,34.7982,26.7787,0.0,1417.7225925925925
2002-01-07 06:30:29.100000+00:00,3.1,EGYPT,34.8116,28.7798,5.0,1411.8910150462964
2002-02-25 07:26:45.500000+00:00,3.2,RED SEA,34.7052,27.8655,15.0,1460.93009375
2002-02-18 16:27:21+00:00,3.9,RED SEA,34.4134,27.7208,5.0,1454.3055046296295
2002-02-13 18:51:59.200000+00:00,3.7,EGYPT,33.2903,27.354,2.0,1449.4059467592592
2002-02-13 05:43:23.400000+00:00,3.4,RED SEA,34.9926,26.8388,2.0,1448.8583101851852
2002-03-14 04:49:00.200000+00:00,3.2,EGYPT,34.7499,28.3499,15.0,1477.8205416666667
2002-03-11 01:26:07.800000+00:00,3.7,EGYPT,34.7445,28.8704,20.0,1474.6796574074074
2002-04-09 20:25:22.100000+00:00,3.9,EGYPT,33.9583,27.7776,10.0,1504.470795138889
2002-06-30 02:36:02.500000+00:00,3.7,EGYPT,30.2141,28.766,10.0,1585.728207175926
2002-06-24 20:19:20.700000+00:00,3.5,DEAD SEA REGION,35.8146,31.8313,10.0,1580.4666122685187
2002-06-03 21:29:05.200000+00:00,3.2,RED SEA,34.9616,26.9445,2.0,1559.5150439814815
2002-07-10 12:34:05.600000+00:00,3.4,EGYPT,28.43,24.68,20.0,1596.1435208333332
2002-08-24 20:01:19.800000+00:00,4.3,EGYPT,31.418,30.1697,12.0,1641.4541018518519
2002-10-26 18:51:56.800000+00:00,3.5,RED SEA,35.01,26.4,15.0,1704.4059189814816
2002-10-18 01:28:20.900000+00:00,3.5,EGYPT,35.26,24.59,29.0,1695.6811979166666
2003-01-22 12:49:46.500000+00:00,3.0,JORDAN-SAUDI ARABIA BORDER REG,35.9,29.1,12.0,1792.1544108796295
2003-01-15 11:31:25.400000+00:00,3.2,EGYPT,32.219,28.4776,10.0,1785.1
2003-01-12 12:20:52.400000+00:00,3.0,JORDAN,36.0,30.7,22.0,1782.1343402777777
2003-02-11 16:01:41.800000+00:00,3.0,JORDAN-SAUDI ARABIA BORDER REG,35.143,29.3872,2.0,1812.287689814815
2003-01-28 12:04:51.600000+00:00,3.0,WESTERN SAUDI ARABIA,35.8,28.1,35.0,1798.1232199074072
2004-01-21 01:45:12+00:00,3.2,EGYPT,31.63,28.81,13.4,2155.692900462963
2004-01-16 15:35:45.600000+00:00,3.2,RED SEA,34.6865,27.2588,20.0,2151.2696782407406
2004-01-10 23:20:53.100000+00:00,3.1,EGYPT,32.85,29.19,13.9,2145.592681712963
2004-01-10 22:33:56.400000+00:00,3.1,RED SEA,34.7387,27.27,10.0,2145.5600810185183
2004-01-08 23:13:03.900000+00:00,3.3,RED SEA,34.65,26.02,4.1,2143.5872511574075
2004-01-08 23:10:42.700000+00:00,3.6,RED SEA,34.59,26.02,11.6,2143.585616898148
2004-01-04 06:36:41.100000+00:00,3.1,EGYPT,31.96,28.87,13.4,2138.895320601852
2004-01-03 00:50:54.800000+00:00,3.1,EGYPT,32.55,24.6,3.5,2137.655201388889
2003-12-31 20:44:41.100000+00:00,3.8,DEAD SEA REGION,35.5178,31.5023,19.8,2135.484209490741
2004-02-20 17:16:38.400000+00:00,3.2,RED SEA,35.062,26.8167,2.0,2186.3397337962965
2004-02-17 01:51:52.400000+00:00,3.5,EGYPT,32.87,23.76,9.1,2182.6975347222224
2004-02-16 10:29:30.200000+00:00,3.3,EGYPT,34.57,25.28,14.0,2182.0570000000002
